Degree                                  X value                                 Y value
0                                       0                                       1439
1                                       25                                      1437
2                                       50                                      1436
3                                       75                                      1434
4                                       100                                     1431
5                                       124                                     1428
6                                       149                                     1425
7                                       174                                     1421
8                                       199                                     1417
9                                       223                                     1412
10                                      248                                     1407
11                                      272                                     1401
12                                      296                                     1395
13                                      320                                     1389
14                                      344                                     1382
15                                      368                                     1375
16                                      392                                     1367
17                                      415                                     1359
18                                      439                                     1351
19                                      462                                     1342
20                                      485                                     1333
21                                      508                                     1323
22                                      530                                     1313
23                                      553                                     1303
24                                      575                                     1292
25                                      597                                     1281
26                                      619                                     1269
27                                      641                                     1258
28                                      662                                     1245
29                                      683                                     1233
30                                      704                                     1220
31                                      725                                     1206
32                                      745                                     1193
33                                      765                                     1179
34                                      785                                     1164
35                                      805                                     1150
36                                      824                                     1135
37                                      843                                     1119
38                                      862                                     1104
39                                      881                                     1088
40                                      899                                     1071
41                                      917                                     1055
42                                      934                                     1038
43                                      952                                     1020
44                                      969                                     1003
45                                      985                                     985
46                                      1002                                    967
47                                      1018                                    949
48                                      1033                                    930
49                                      1049                                    911
50                                      1064                                    892
51                                      1078                                    873
52                                      1092                                    853
53                                      1106                                    834
54                                      1120                                    814
55                                      1133                                    793
56                                      1146                                    773
57                                      1159                                    752
58                                      1171                                    731
59                                      1182                                    710
60                                      1194                                    689
61                                      1205                                    668
62                                      1215                                    646
63                                      1226                                    624
64                                      1235                                    602
65                                      1245                                    580
66                                      1254                                    558
67                                      1262                                    536
68                                      1271                                    513
69                                      1279                                    490
70                                      1286                                    468
71                                      1293                                    445
72                                      1300                                    422
73                                      1306                                    399
74                                      1312                                    376
75                                      1317                                    353
76                                      1322                                    329
77                                      1327                                    306
78                                      1331                                    282
79                                      1335                                    259
80                                      1338                                    235
81                                      1341                                    212
82                                      1343                                    188
83                                      1345                                    165
84                                      1347                                    141
85                                      1348                                    118
86                                      1349                                    94
87                                      1350                                    70
88                                      1350                                    47
89                                      1349                                    23
90                                      1348                                    -0
91                                      1347                                    -23
92                                      1346                                    -47
93                                      1344                                    -70
94                                      1341                                    -93
95                                      1338                                    -117
96                                      1335                                    -140
97                                      1331                                    -163
98                                      1327                                    -186
99                                      1323                                    -209
100                                     1318                                    -232
101                                     1313                                    -255
102                                     1307                                    -277
103                                     1301                                    -300
104                                     1295                                    -322
105                                     1288                                    -345
106                                     1281                                    -367
107                                     1273                                    -389
108                                     1265                                    -411
109                                     1257                                    -433
110                                     1248                                    -454
111                                     1239                                    -475
112                                     1230                                    -497
113                                     1220                                    -518
114                                     1210                                    -538
115                                     1199                                    -559
116                                     1189                                    -579
117                                     1177                                    -600
118                                     1166                                    -620
119                                     1154                                    -639
120                                     1142                                    -659
121                                     1129                                    -678
122                                     1116                                    -697
123                                     1103                                    -716
124                                     1090                                    -735
125                                     1076                                    -753
126                                     1062                                    -771
127                                     1047                                    -789
128                                     1033                                    -807
129                                     1018                                    -824
130                                     1002                                    -841
131                                     987                                     -858
132                                     971                                     -874
133                                     955                                     -890
134                                     938                                     -906
135                                     922                                     -922
136                                     905                                     -937
137                                     887                                     -952
138                                     870                                     -966
139                                     852                                     -981
140                                     834                                     -995
141                                     816                                     -1008
142                                     798                                     -1022
143                                     779                                     -1035
144                                     761                                     -1047
145                                     742                                     -1059
146                                     723                                     -1071
147                                     703                                     -1083
148                                     684                                     -1094
149                                     664                                     -1105
150                                     644                                     -1116
151                                     624                                     -1126
152                                     604                                     -1136
153                                     583                                     -1145
154                                     563                                     -1154
155                                     542                                     -1163
156                                     521                                     -1172
157                                     500                                     -1180
158                                     479                                     -1187
159                                     458                                     -1194
160                                     437                                     -1201
161                                     416                                     -1208
162                                     394                                     -1214
163                                     373                                     -1220
164                                     351                                     -1225
165                                     329                                     -1230
166                                     307                                     -1235
167                                     286                                     -1239
168                                     264                                     -1243
169                                     242                                     -1246
170                                     220                                     -1249
171                                     198                                     -1252
172                                     176                                     -1254
173                                     154                                     -1256
174                                     132                                     -1258
175                                     110                                     -1259
176                                     88                                      -1259
177                                     66                                      -1260
178                                     44                                      -1260
179                                     21                                      -1259
180                                     -0                                      -1259
181                                     -21                                     -1257
182                                     -43                                     -1256
183                                     -65                                     -1254
184                                     -87                                     -1251
185                                     -109                                    -1249
186                                     -130                                    -1246
187                                     -152                                    -1242
188                                     -174                                    -1238
189                                     -195                                    -1234
190                                     -216                                    -1230
191                                     -238                                    -1225
192                                     -259                                    -1219
193                                     -280                                    -1214
194                                     -301                                    -1208
195                                     -321                                    -1201
196                                     -342                                    -1194
197                                     -363                                    -1187
198                                     -383                                    -1180
199                                     -403                                    -1172
200                                     -423                                    -1164
201                                     -443                                    -1155
202                                     -463                                    -1146
203                                     -482                                    -1137
204                                     -502                                    -1128
205                                     -521                                    -1118
206                                     -540                                    -1108
207                                     -559                                    -1097
208                                     -577                                    -1086
209                                     -596                                    -1075
210                                     -614                                    -1064
211                                     -632                                    -1052
212                                     -650                                    -1040
213                                     -667                                    -1028
214                                     -685                                    -1015
215                                     -702                                    -1002
216                                     -718                                    -989
217                                     -735                                    -975
218                                     -751                                    -962
219                                     -767                                    -948
220                                     -783                                    -933
221                                     -799                                    -919
222                                     -814                                    -904
223                                     -829                                    -889
224                                     -844                                    -873
225                                     -858                                    -858
226                                     -872                                    -842
227                                     -886                                    -826
228                                     -899                                    -810
229                                     -913                                    -793
230                                     -926                                    -777
231                                     -938                                    -760
232                                     -951                                    -743
233                                     -963                                    -725
234                                     -974                                    -708
235                                     -986                                    -690
236                                     -997                                    -672
237                                     -1008                                   -654
238                                     -1018                                   -636
239                                     -1028                                   -618
240                                     -1038                                   -599
241                                     -1047                                   -580
