Degree                                  X value                                 Y value
0                                       2500                                    3219
1                                       2512                                    3218
2                                       2525                                    3218
3                                       2537                                    3217
4                                       2550                                    3215
5                                       2562                                    3214
6                                       2574                                    3212
7                                       2587                                    3210
8                                       2599                                    3208
9                                       2611                                    3206
10                                      2624                                    3203
11                                      2636                                    3200
12                                      2648                                    3197
13                                      2660                                    3194
14                                      2672                                    3191
15                                      2684                                    3187
16                                      2696                                    3183
17                                      2707                                    3179
18                                      2719                                    3175
19                                      2731                                    3171
20                                      2742                                    3166
21                                      2754                                    3161
22                                      2765                                    3156
23                                      2776                                    3151
24                                      2787                                    3146
25                                      2798                                    3140
26                                      2809                                    3134
27                                      2820                                    3129
28                                      2831                                    3122
29                                      2841                                    3116
30                                      2852                                    3110
31                                      2862                                    3103
32                                      2872                                    3096
33                                      2882                                    3089
34                                      2892                                    3082
35                                      2902                                    3075
36                                      2912                                    3067
37                                      2921                                    3059
38                                      2931                                    3052
39                                      2940                                    3044
40                                      2949                                    3035
41                                      2958                                    3027
42                                      2967                                    3019
43                                      2976                                    3010
44                                      2984                                    3001
45                                      2992                                    2992
46                                      3001                                    2983
47                                      3009                                    2974
48                                      3016                                    2965
49                                      3024                                    2955
50                                      3032                                    2946
51                                      3039                                    2936
52                                      3046                                    2926
53                                      3053                                    2917
54                                      3060                                    2907
55                                      3066                                    2896
56                                      3073                                    2886
57                                      3079                                    2876
58                                      3085                                    2865
59                                      3091                                    2855
60                                      3097                                    2844
61                                      3102                                    2834
62                                      3107                                    2823
63                                      3113                                    2812
64                                      3117                                    2801
65                                      3122                                    2790
66                                      3127                                    2779
67                                      3131                                    2768
68                                      3135                                    2756
69                                      3139                                    2745
70                                      3143                                    2734
71                                      3146                                    2722
72                                      3150                                    2711
73                                      3153                                    2699
74                                      3156                                    2688
75                                      3158                                    2676
76                                      3161                                    2664
77                                      3163                                    2653
78                                      3165                                    2641
79                                      3167                                    2629
80                                      3169                                    2617
81                                      3170                                    2606
82                                      3171                                    2594
83                                      3172                                    2582
84                                      3173                                    2570
85                                      3174                                    2559
86                                      3174                                    2547
87                                      3175                                    2535
88                                      3175                                    2523
89                                      3174                                    2511
90                                      3174                                    2499
91                                      3173                                    2488
92                                      3173                                    2476
93                                      3172                                    2464
94                                      3170                                    2453
95                                      3169                                    2441
96                                      3167                                    2429
97                                      3165                                    2418
98                                      3163                                    2406
99                                      3161                                    2395
100                                     3159                                    2383
101                                     3156                                    2372
102                                     3153                                    2361
103                                     3150                                    2349
104                                     3147                                    2338
105                                     3144                                    2327
106                                     3140                                    2316
107                                     3136                                    2305
108                                     3132                                    2294
109                                     3128                                    2283
110                                     3124                                    2272
111                                     3119                                    2262
112                                     3115                                    2251
113                                     3110                                    2240
114                                     3105                                    2230
115                                     3099                                    2220
116                                     3094                                    2210
117                                     3088                                    2199
118                                     3083                                    2189
119                                     3077                                    2180
120                                     3071                                    2170
121                                     3064                                    2160
122                                     3058                                    2151
123                                     3051                                    2141
124                                     3045                                    2132
125                                     3038                                    2123
126                                     3031                                    2114
127                                     3023                                    2105
128                                     3016                                    2096
129                                     3009                                    2087
130                                     3001                                    2079
131                                     2993                                    2070
132                                     2985                                    2062
133                                     2977                                    2054
134                                     2969                                    2046
135                                     2961                                    2038
136                                     2952                                    2031
137                                     2943                                    2023
138                                     2935                                    2016
139                                     2926                                    2009
140                                     2917                                    2002
141                                     2908                                    1995
142                                     2899                                    1988
143                                     2889                                    1982
144                                     2880                                    1976
145                                     2871                                    1970
146                                     2861                                    1964
147                                     2851                                    1958
148                                     2842                                    1952
149                                     2832                                    1947
150                                     2822                                    1941
151                                     2812                                    1936
152                                     2802                                    1931
153                                     2791                                    1927
154                                     2781                                    1922
155                                     2771                                    1918
156                                     2760                                    1913
157                                     2750                                    1909
158                                     2739                                    1906
159                                     2729                                    1902
160                                     2718                                    1899
161                                     2708                                    1895
162                                     2697                                    1892
163                                     2686                                    1889
164                                     2675                                    1887
165                                     2664                                    1884
166                                     2653                                    1882
167                                     2643                                    1880
168                                     2632                                    1878
169                                     2621                                    1876
170                                     2610                                    1875
171                                     2599                                    1873
172                                     2588                                    1872
173                                     2577                                    1871
174                                     2566                                    1870
175                                     2555                                    1870
176                                     2544                                    1870
177                                     2533                                    1869
178                                     2522                                    1869
179                                     2510                                    1870
180                                     2499                                    1870
181                                     2489                                    1871
182                                     2478                                    1871
183                                     2467                                    1872
184                                     2456                                    1874
185                                     2445                                    1875
186                                     2434                                    1876
187                                     2423                                    1878
188                                     2412                                    1880
189                                     2402                                    1882
190                                     2391                                    1884
191                                     2380                                    1887
192                                     2370                                    1890
193                                     2359                                    1892
194                                     2349                                    1895
195                                     2339                                    1899
196                                     2328                                    1902
197                                     2318                                    1906
198                                     2308                                    1909
199                                     2298                                    1913
200                                     2288                                    1917
201                                     2278                                    1922
202                                     2268                                    1926
203                                     2258                                    1931
204                                     2248                                    1935
205                                     2239                                    1940
206                                     2229                                    1945
207                                     2220                                    1951
208                                     2211                                    1956
209                                     2201                                    1962
210                                     2192                                    1967
211                                     2183                                    1973
212                                     2174                                    1979
213                                     2166                                    1985
214                                     2157                                    1992
215                                     2148                                    1998
216                                     2140                                    2005
217                                     2132                                    2012
218                                     2124                                    2018
219                                     2116                                    2025
220                                     2108                                    2033
221                                     2100                                    2040
222                                     2092                                    2047
223                                     2085                                    2055
224                                     2077                                    2063
225                                     2070                                    2070
226                                     2063                                    2078
227                                     2056                                    2086
228                                     2050                                    2094
229                                     2043                                    2103
230                                     2036                                    2111
231                                     2030                                    2119
232                                     2024                                    2128
233                                     2018                                    2137
234                                     2012                                    2145
235                                     2006                                    2154
236                                     2001                                    2163
237                                     1995                                    2172
238                                     1990                                    2181
239                                     1985                                    2190
240                                     1980                                    2200
241                                     1976                                    2209
242                                     1971                                    2219
243                                     1967                                    2228
244                                     1962                                    2238
245                                     1958                                    2247
246                                     1955                                    2257
247                                     1951                                    2267
248                                     1947                                    2276
249                                     1944                                    2286
250                                     1941                                    2296
251                                     1938                                    2306
252                                     1935                                    2316
253                                     1932                                    2326
254                                     1930                                    2336
255                                     1928                                    2346
256                                     1926                                    2356
257                                     1924                                    2367
258                                     1922                                    2377
259                                     1920                                    2387
260                                     1919                                    2397
261                                     1918                                    2407
262                                     1917                                    2418
263                                     1916                                    2428
264                                     1915                                    2438
265                                     1915                                    2448
266                                     1914                                    2459
267                                     1914                                    2469
268                                     1914                                    2479
269                                     1915                                    2489
270                                     1915                                    2500
271                                     1916                                    2510
272                                     1916                                    2520
273                                     1917                                    2530
274                                     1918                                    2540
275                                     1920                                    2550
276                                     1921                                    2560
277                                     1923                                    2570
278                                     1925                                    2580
279                                     1927                                    2590
280                                     1929                                    2600
281                                     1931                                    2610
282                                     1934                                    2620
283                                     1936                                    2630
284                                     1939                                    2639
285                                     1942                                    2649
